project,surface_type,source_path,canonical_doc_path,audience,diataxis_type,owner_status,verification_command,gap_status,reviewer_notes
helm-ai-kernel,reference-pack,reference_packs/extauthz,reference_packs/extauthz/README.md,conformance-engineer,reference,owned-active,make docs-coverage && make docs-truth && python3 reference_packs/extauthz/verify_extauthz_vectors.py,covered,Gateway-to-Kernel external authorization reference vectors prove cross-language canonicalization for pre-dispatch verdicts and do not represent final effect proof.
helm-ai-kernel,reference-pack,reference_packs/approval,reference_packs/README.md,conformance-engineer,reference,owned-active,make docs-coverage && make docs-truth && cd core && go test ./pkg/boundary/approvalverify -run TestApprovalReferencePackMatchesGoImplementation -count=1 && cd .. && python3 reference_packs/approval/verify_approval_vectors.py,covered,Approval reference vectors prove deterministic Go and Python parity for challenge assertion authority and quorum verification; they do not issue or consume a durable ApprovalGrant.
helm-ai-kernel,reference-pack,reference_packs/approval-consumption-v1,reference_packs/README.md,conformance-engineer,reference,owned-active,make verify-approval-ceremony-vectors && make docs-coverage && make docs-truth,covered,Approval consumption vectors prove deterministic Go and Python parity for the signed tenant-bound pack lifecycle consumption record; they do not prove connector execution deployment or controlled-live release authority.
helm-ai-kernel,reference-pack,reference_packs/launch-mission-v1,reference_packs/launch-mission-v1/README.md,conformance-engineer,reference,owned-active,make verify-launch-mission-vectors && make docs-coverage && make docs-truth,covered,Launch Mission vectors prove deterministic Go and Python parity for provider-neutral route authority approval consumption verdict and receipt artifacts; they do not certify a live provider connector, deployed durable effect reservation, or production execution. quantum_posture: this coverage index references signed surfaces but implements no cryptographic control or post-quantum assurance.
helm-ai-kernel,reference-pack,reference_packs/canonical-json-v1,reference_packs/canonical-json-v1/README.md,conformance-engineer,reference,owned-active,make verify-canonical-json-vectors && make docs-coverage && make docs-truth,covered,"Canonical JSON conformance vectors: RFC 8785 object ordering (UTF-16 code unit), the RFC 8785 escape set, and every observable case of the one documented number-serialization deviation. A Go implementation and an independent pure-stdlib Python implementation are held to identical bytes. Proves the canonicalization rule is reproducible from the specification alone; certifies no receipt, permit, or EvidencePack profile. quantum_posture: canonicalization binds bytes only and selects no signing profile."
helm-ai-kernel,protocol,protocols/specs/rfc/canonical-json-v1.md,protocols/specs/rfc/canonical-json-v1.md,developer,reference,owned-active,make verify-canonical-json-vectors && make docs-truth,covered,"Normative specification of HELM canonical JSON: RFC 8785 with one stated deviation (numbers are emitted as the source literal rather than re-rendered by the ECMAScript Number-to-String algorithm) and the interoperable integer subset on which the two are byte-identical. Names core/pkg/canonicalize as the single canonical encoder and records that crypto.CanonicalMarshal is now an alias for it."
helm-ai-kernel,library,core/pkg/canonicalize,protocols/specs/rfc/canonical-json-v1.md,developer,reference,owned-active,cd core && go test ./pkg/canonicalize/... && make verify-canonical-json-vectors,covered,"The kernel's single canonical JSON encoder. Implements RFC 8785 object ordering and string escaping; CheckInteroperableNumbers and InteroperableJCS gate the number subset every signed artifact and published vector must stay inside."
helm-ai-kernel,reference-pack,reference_packs/approval-dispatch-admission-v1,reference_packs/README.md,conformance-engineer,reference,owned-active,make verify-approval-ceremony-vectors && make docs-coverage && make docs-truth,covered,Dispatch admission vectors prove deterministic Go and Python parity for the signed short-lived consumption-bound pre-effect admission including connector authority and liveness boundaries; they do not prove current connector certification revocation Data Plane enforcement effect start deployment or controlled-live release authority.
helm-ai-kernel,reference-pack,reference_packs/generated-spec-approval-ceremony-v1,reference_packs/README.md,conformance-engineer,reference,owned-active,make verify-generated-spec-approval-ceremony-vectors && make docs-coverage && make docs-truth,covered,GeneratedSpec ceremony vectors prove deterministic Go and Python parity for source-contract hold challenge quorum grant consumption and recovery boundaries; they do not prove Postgres durability RLS FENCE CAS runtime providers Control Plane approval or controlled-live release authority. quantum_posture: this coverage index references signed surfaces but implements no cryptographic control or post-quantum assurance.
helm-ai-kernel,reference-pack,reference_packs/connector-release-authority-v1,docs/operations/connector-release-authority.md,conformance-engineer,reference,owned-active,make verify-connector-release-authority-vectors && make docs-coverage && make docs-truth,covered,Connector release authority vectors prove Go and independent Python parity for an exact-version signed certified-to-revoked authority chain; they do not prove durable registry deployment approval binding Data Plane enforcement or controlled-live release authority.
helm-ai-kernel,reference-pack,reference_packs/effect-close-v1,docs/operations/effect-close.md,conformance-engineer,reference,owned-active,make verify-effect-close-vectors && make docs-coverage && make docs-truth,covered,Signed effect close vectors prove Go and independent Python parity for connector acknowledgement and Kernel close receipt hashing signatures and bindings; they do not prove Data Plane deployment source-system reconciliation or controlled-live release authority.
helm-ai-kernel,reference-pack,reference_packs/effect-close-v2,docs/operations/effect-close.md,conformance-engineer,reference,owned-active,make verify-effect-close-vectors && make docs-coverage && make docs-truth,covered,Effect close v2 vectors prove Go and independent Python parity for activation-bound adapter-finality acknowledgement and Kernel close receipt identities signatures and failure mutations; they do not prove deployed provider readback durable transport or production release authority.
helm-ai-kernel,reference-pack,reference_packs/effect-close-v3,docs/operations/effect-close.md,conformance-engineer,reference,owned-active,make verify-effect-close-vectors && make docs-coverage && make docs-truth,covered,Effect close v3 vectors prove Go and independent Python parity for disposition-bound acknowledgement and close receipt hashes signatures and failure mutations; they do not prove runtime adoption current FENCE enforcement or provider finality.
helm-ai-kernel,reference-pack,reference_packs/boundary-profile-v1,docs/deployment/boundary-enforcement-profile.md,conformance-engineer,reference,owned-active,make verify-boundary-profile-vectors && make docs-coverage && make docs-truth,covered,Boundary Enforcement Profile vectors prove Go and independent Python parity for compile-receipt and posture-attestation hashing signatures bindings and fail-closed negatives; they do not prove OS enforcement on any host — systemd and nftables enforce and drift is attested at service start and on-demand runs.
helm-ai-kernel,reference-pack,reference_packs/update-bundle-v1,docs/deployment/boundary-enforcement-profile.md,conformance-engineer,reference,owned-active,make verify-update-bundle-vectors && make docs-coverage && make docs-truth,covered,Offline update-bundle vectors prove Go and independent Python parity for the signed manifest format and payload bindings; format and verifier only — no build tooling and no OTA mechanism claim.
helm-ai-kernel,reference-pack,reference_packs/effect-disposition-v1,docs/operations/effect-disposition.md,conformance-engineer,reference,owned-active,make verify-effect-disposition-vectors && make docs-coverage && make docs-truth,covered,Signed effect disposition vectors prove Go and independent Python parity for current-FENCE exact-head chained operator intent and Kernel receipt with no execution authority; they do not prove cross-plane delivery connector action or controlled-live release authority.
helm-ai-kernel,reference-pack,reference_packs/evidence-pack-successor-v1,protocols/spec/evidence-pack-v1.md,conformance-engineer,reference,owned-active,make verify-evidence-pack-successor-vectors && make docs-coverage && make docs-truth,covered,EvidencePack successor vectors prove Go and independent Python parity for frozen effect-time lineage deterministic addendum identities and final or censored ProofGraph chains; they do not prove durable persistence deployment provider finality economic success or production acceptance.
helm-ai-kernel,reference-pack,reference_packs/effect-permit-v1,protocols/specs/effects/effect-permit-v1.md,conformance-engineer,reference,owned-active,make verify-effect-permit-vectors && make docs-coverage && make docs-truth,covered,Effect permit vectors prove Go and independent Python parity for the byte-exact effect_permit.v1 signing contract; they do not prove admission replay protection connector enforcement deployment or controlled-live release authority.
helm-ai-kernel,runtime-route,core/cmd/helm-ai-kernel/approval_consumption_routes.go,docs/operations/approval-grant-consumption.md,kernel-guardian,how-to,owned-active,make test-approval-ceremony-postgres && make docs-coverage && make docs-truth,covered,Internal OAuth/JWKS-authenticated routes consume or recover one signed pack-lifecycle ApprovalGrant through the durable RLS ledger; they do not mint generic EffectPermits dispatch connectors or prove deployment.
helm-ai-kernel,reference-pack,reference_packs/emergency_stop,docs/EMERGENCY_STOP_FENCE.md,conformance-engineer,reference,owned-active,cd core && go test ./pkg/kernel -run TestScopedStopCatalogReferencePack -count=1,covered,Pinned contracts-catalog FENCE vectors prove local command and acknowledgement canonicalization plus signer-identity binding; they do not prove Control Plane delivery cancellation reconciliation or a complete operator Emergency Stop.
helm-ai-kernel,surface,reference_packs/proof_replays,reference_packs/README.md,maintainer,reference,owned-active,make docs-coverage && make docs-truth,covered,Failure Intelligence public proof replay reference packs are Kernel-owned deterministic offline verification fixtures.
helm-ai-kernel,research,research,research/leap/README.md,maintainer,explanation,owned-active,make docs-coverage && make docs-truth,covered,Docs-only LEAP research note for verifier-guided proof-search pattern; not a runtime dependency or public integration claim.
helm-ai-kernel,surface,release,release/README.md,maintainer,reference,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,schema,schemas,schemas/README.md,maintainer,reference,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,schema,schemas/failure_intelligence,schemas/README.md,developer,reference,owned-active,make docs-coverage && make docs-truth,covered,Kernel-owned canonical schemas for Failure Intelligence candidates mappings replays publication gates verification and vectors.
helm-ai-kernel,schema,schemas/failure_intelligence/artifact_ref.v1.json,schemas/README.md,developer,reference,owned-active,make docs-coverage && make docs-truth,covered,Artifact reference schema for Failure Intelligence object storage and public-safe export metadata.
helm-ai-kernel,schema,schemas/failure_intelligence/conformance_vector.v1.json,schemas/README.md,developer,reference,owned-active,make docs-coverage && make docs-truth,covered,Conformance vector schema for external-failure HCV fixtures.
helm-ai-kernel,schema,schemas/failure_intelligence/counterfactual_replay.v1.json,schemas/README.md,developer,reference,owned-active,make docs-coverage && make docs-truth,covered,Counterfactual replay schema for safe public HELM proof replays.
helm-ai-kernel,schema,schemas/failure_intelligence/export_batch.v1.json,schemas/README.md,developer,reference,owned-active,make docs-coverage && make docs-truth,covered,Archive export batch schema for deterministic proof replay static payloads.
helm-ai-kernel,schema,schemas/failure_intelligence/external_incident_candidate.v1.json,schemas/README.md,developer,reference,owned-active,make docs-coverage && make docs-truth,covered,External incident candidate schema for source-backed public failure intelligence workflow state.
helm-ai-kernel,schema,schemas/failure_intelligence/failure_mode.v1.json,schemas/README.md,developer,reference,owned-active,make docs-coverage && make docs-truth,covered,Canonical HELM-native Failure Intelligence taxonomy schema.
helm-ai-kernel,schema,schemas/failure_intelligence/helm_control_mapping.v1.json,schemas/README.md,developer,reference,owned-active,make docs-coverage && make docs-truth,covered,Control mapping schema for missing execution authority controls reason codes and evidence requirements.
helm-ai-kernel,schema,schemas/failure_intelligence/public_proof_replay.v1.json,schemas/README.md,developer,reference,owned-active,make docs-coverage && make docs-truth,covered,Public proof replay schema for redaction-safe HPR archive entries.
helm-ai-kernel,schema,schemas/failure_intelligence/public_replay_policy.v1.json,schemas/README.md,developer,reference,owned-active,make docs-coverage && make docs-truth,covered,Public replay policy schema for bounded counterfactual replay inputs.
helm-ai-kernel,schema,schemas/failure_intelligence/publication_gate.v1.json,schemas/README.md,developer,reference,owned-active,make docs-coverage && make docs-truth,covered,Publication gate schema for proof verification redaction review and wording checks.
helm-ai-kernel,schema,schemas/failure_intelligence/run_record.v1.json,schemas/README.md,developer,reference,owned-active,make docs-coverage && make docs-truth,covered,Run record schema for Failure Intelligence orchestration and stage accounting.
helm-ai-kernel,schema,schemas/failure_intelligence/source_assertion.v1.json,schemas/README.md,developer,reference,owned-active,make docs-coverage && make docs-truth,covered,Source assertion schema for hashed public-source claims and retrieval metadata.
helm-ai-kernel,schema,schemas/failure_intelligence/source_health.v1.json,schemas/README.md,developer,reference,owned-active,make docs-coverage && make docs-truth,covered,Source health schema for adapter freshness errors counts and confidence distribution.
helm-ai-kernel,schema,schemas/failure_intelligence/source_registry.v1.json,schemas/README.md,developer,reference,owned-active,make docs-coverage && make docs-truth,covered,Source registry schema for public source authority fetch policy and confidence weighting.
helm-ai-kernel,schema,schemas/failure_intelligence/source_snapshot.v1.json,schemas/README.md,developer,reference,owned-active,make docs-coverage && make docs-truth,covered,Source snapshot schema for hashed source retrieval and retention metadata.
helm-ai-kernel,schema,schemas/failure_intelligence/verification_result.v1.json,schemas/README.md,developer,reference,owned-active,make docs-coverage && make docs-truth,covered,Verification result schema for offline Kernel EvidencePack verifier reports.
helm-ai-kernel,surface,scripts,scripts/README.md,maintainer,how-to,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,surface,sdk,sdk/README.md,developer,reference,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,surface,tests,tests/README.md,maintainer,tutorial,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,surface,tools,tools/README.md,maintainer,how-to,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,ci-cd,.github/workflows,.github/workflows/README.md,operator,how-to,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,ci-cd,.github/workflows/claude-managed-agents-live-evidence.yml,.github/workflows/README.md,operator,how-to,owned-active,make docs-coverage && make docs-truth,covered,Manual protected live-evidence workflow for Claude Managed Agents Daytona verification artifacts.
helm-ai-kernel,api-contract,api/openapi,api/openapi/README.md,developer,reference,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,surface,artifacts/golden,artifacts/golden/README.md,maintainer,explanation,owned-active,make docs-coverage && make docs-truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
helm-ai-kernel,surface,artifacts/usecases,artifacts/README.md,maintainer,reference,owned-active,make crucible,covered,Use-case runner writes verification logs here; artifacts remain generated outputs and the canonical artifacts doc owns lifecycle expectations.
helm-ai-kernel,configuration,core/go.mod,core/README.md,maintainer,reference,owned-active,make docs-coverage && make docs-truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
helm-ai-kernel,configuration,core/pkg/compliance/zkprovider/gdpr17/go.mod,core/pkg/compliance/README.md,maintainer,reference,owned-active,cd core/pkg/compliance/zkprovider/gdpr17 && GOWORK=off go test ./... -short -count=1 && make docs-truth,covered,Optional gnark proof provider is isolated as a nested module outside the default core dependency graph; compliance README owns lifecycle context.
helm-ai-kernel,infrastructure,deploy/helm-chart,deploy/helm-chart/README.md,operator,how-to,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,infrastructure,deploy/appliance,deploy/appliance/README.md,operator,how-to,owned-active,make docs-coverage && make docs-truth,covered,Sealed-appliance reference units: privileged attest oneshot gates the unprivileged gateway via systemd Requires; HELM compiles and attests while systemd and nftables enforce; no continuous-monitoring or host-enforcement claim.
helm-ai-kernel,schema,deploy/helm-chart/values.schema.json,deploy/helm-chart/README.md,operator,reference,owned-active,make docs-coverage && make docs-truth,covered,Helm chart values schema (JSON Schema draft 2020-12) covered by the chart README; enables `helm install` pre-flight validation and lights the ArtifactHub Values Schema badge.
helm-ai-kernel,surface,examples/decision-receipt,examples/decision-receipt/README.md,developer,tutorial,owned-active,make docs-coverage && make docs-truth,covered,Worked example: verify a HELM external decision receipt offline with the CLI.
helm-ai-kernel,surface,examples/go_client,examples/go_client/README.md,developer,tutorial,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,configuration,examples/go_client/go.mod,examples/go_client/README.md,maintainer,reference,owned-active,make docs-coverage && make docs-truth,covered,Go example module pins the source example to the local SDK module so scanner and build tooling can compile it.
helm-ai-kernel,surface,examples/golden,examples/golden/README.md,developer,tutorial,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,surface,examples/java_client,examples/java_client/README.md,developer,tutorial,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,surface,examples/js_openai_baseurl,examples/js_openai_baseurl/README.md,developer,tutorial,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,surface,examples/claude_managed_agents_worker,examples/claude_managed_agents_worker/README.md,developer,how-to,owned-active,make docs-coverage && make docs-truth,covered,Reference worker-shim integration example for routing Claude Managed Agents worker effects through HELM before dispatch.
helm-ai-kernel,surface,examples/mcp_client,examples/mcp_client/README.md,developer,tutorial,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,surface,examples/openclaw,examples/openclaw/README.md,developer,tutorial,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,surface,examples/otel-genai,examples/otel-genai/README.md,developer,tutorial,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,surface,examples/policies,examples/policies/README.md,developer,tutorial,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,examples,examples/policy-packs,examples/policy-packs/README.md,developer,how-to,owned-active,make docs-coverage && make docs-truth && cd core/cmd/helm-ai-kernel && go test . -run TestPolicyPackExamplesLoad -count=1,covered,Example policy packs are runnable serve-policy wrappers plus JSON reference packs for OSS evaluation; they are examples only and not production defaults.
helm-ai-kernel,surface,examples/python_openai_baseurl,examples/python_openai_baseurl/README.md,developer,tutorial,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,surface,examples/receipt_verification,examples/receipt_verification/README.md,developer,tutorial,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,surface,examples/rust_client,examples/rust_client/README.md,developer,tutorial,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,surface,examples/starters,examples/starters/README.md,developer,tutorial,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,surface,examples/ts_openai_baseurl,examples/ts_openai_baseurl/README.md,developer,tutorial,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,test-surface,fixtures/minimal,fixtures/README.md,maintainer,tutorial,owned-active,make docs-coverage && make docs-truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
helm-ai-kernel,surface,proofs/Lean,proofs/Lean/README.md,maintainer,explanation,owned-active,make docs-coverage && make docs-truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
helm-ai-kernel,surface,proofs/states,proofs/README.md,maintainer,explanation,owned-active,make docs-coverage && make docs-truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
helm-ai-kernel,protocol,protocols/bundles,protocols/README.md,developer,reference,owned-active,make docs-coverage && make docs-truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
helm-ai-kernel,protocol,protocols/conformance,protocols/conformance/v1/CONFORMANCE_GUIDE.md,developer,reference,owned-active,make docs-coverage && make docs-truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
helm-ai-kernel,protocol,protocols/json-schemas,protocols/json-schemas/SCHEMA_INDEX.md,developer,reference,owned-active,make docs-coverage && make docs-truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
helm-ai-kernel,configuration,protocols/json-schemas/boundary/extauthz.v1.schema.json,protocols/json-schemas/SCHEMA_INDEX.md,kernel-guardian,reference,owned-active,make docs-coverage && make docs-truth && go test ./core/pkg/boundary/extauthz ./core/pkg/canonicalize,covered,Kernel-owned external authorization schema for pre-dispatch gateway verdicts; final effect receipts ProofGraph edges and EvidencePack refs remain post-dispatch proof artifacts.
helm-ai-kernel,configuration,protocols/json-schemas/boundary/boundary_profile_input.v1.schema.json,protocols/json-schemas/SCHEMA_INDEX.md,kernel-guardian,reference,owned-active,make docs-coverage && make docs-truth && go test ./core/pkg/boundary/profile,covered,Operator-authored Boundary Enforcement Profile input; hash-bound into the compile receipt. HELM compiles and attests; the OS enforces — no host-level enforcement claim.
helm-ai-kernel,configuration,protocols/json-schemas/boundary/profile_compile_receipt.v1.schema.json,protocols/json-schemas/SCHEMA_INDEX.md,kernel-guardian,reference,owned-active,make docs-coverage && make docs-truth && go test ./core/pkg/boundary/profile,covered,Signed compile receipt binding policy input hash to the emitted OS artifact set; offline-verifiable. Proves compilation only — not that the OS applied the artifacts (posture attestation covers that).
helm-ai-kernel,configuration,protocols/json-schemas/boundary/posture_attestation.v1.schema.json,protocols/json-schemas/SCHEMA_INDEX.md,kernel-guardian,reference,owned-active,make docs-coverage && make docs-truth && go test ./core/pkg/boundary/profile,covered,Live posture attestation record (MATCH/DRIFT with expected/observed diff); drift is caught at attest runs (service start and on demand), not continuously.
helm-ai-kernel,configuration,protocols/json-schemas/boundary/update_bundle_manifest.v1.schema.json,protocols/json-schemas/SCHEMA_INDEX.md,kernel-guardian,reference,owned-active,make docs-coverage && make docs-truth && go test ./core/pkg/boundary/profile/updatebundle,covered,Signed offline update-bundle manifest; format and stdlib verifier only — no build tooling and no OTA mechanism claim.
helm-ai-kernel,configuration,protocols/json-schemas/managed-agents/claude_self_hosted_live_config.v1.schema.json,protocols/json-schemas/SCHEMA_INDEX.md,maintainer,reference,owned-active,make docs-coverage && make docs-truth,covered,Claude Managed Agents self-hosted live-evidence config schema for Daytona verified-promotion guard.
helm-ai-kernel,protocol,protocols/policy-schema,protocols/README.md,developer,reference,owned-active,make docs-coverage && make docs-truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
helm-ai-kernel,protocol,protocols/proto,protocols/proto/README.md,maintainer,reference,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
